timestamp;ratio_now;ratio_m1;ratio_m2;ratio_m3;ratio_m4;basket_mid;comps_mid;choco_mid;straw_mid;roses_mid
2300;1.00611;1.00615;1.00608;1.00608;1.00599;70629.5;70200.5;7890.5;4037.5;14413.5
2400;1.00612;1.00612;1.00616;1.00609;1.00609;70630.5;70200.5;7892;4037;14410.5
2500;1.00615;1.00612;1.00612;1.00616;1.00609;70630.5;70198.5;7890;4037;14416.5
2600;1.00596;1.00585;1.00582;1.00582;1.00586;70609.5;70190.5;7887.5;4037.5;14415.5
2700;1.00608;1.00621;1.00609;1.00606;1.00606;70626.5;70199.5;7888.5;4037.5;14420.5
2800;1.00618;1.00623;1.00636;1.00624;1.00621;70637;70202.5;7889.5;4037.5;14419.5
2900;1.00601;1.00589;1.00594;1.00606;1.00595;70616.5;70194.5;7888.5;4037;14418.5
3000;1.00606;1.00602;1.00591;1.00595;1.00608;70617.5;70191.5;7889;4036.5;14416.5
3100;1.00602;1.00596;1.00592;1.00581;1.00585;70610.5;70187.5;7888.5;4036.5;14414.5
3200;1.00596;1.00602;1.00596;1.00592;1.00581;70610.5;70191.5;7888.5;4037;14415.5
3300;1.00587;1.00582;1.00588;1.00582;1.00578;70600.5;70188;7887.5;4036.5;14419
3400;1.00575;1.00582;1.00576;1.00582;1.00576;70596.5;70192.5;7888.5;4036.5;14419.5
3500;1.00575;1.00582;1.00589;1.00584;1.00589;70601.5;70197.5;7890.5;4036.5;14416.5
3600;1.00598;1.00591;1.00598;1.00604;1.00599;70612.5;70192.5;7889;4036.5;14417.5
3700;1.00605;1.00595;1.00588;1.00595;1.00601;70610.5;70185.5;7888.5;4036;14415.5
3800;1.00607;1.00605;1.00595;1.00588;1.00595;70610.5;70184;7888.5;4037;14408
3900;1.00596;1.00599;1.00596;1.00586;1.00579;70604.5;70185.5;7888;4037.5;14408.5
4000;1.00592;1.00582;1.00584;1.00582;1.00572;70594.5;70178.5;7887.5;4037.5;14403.5
4100;1.00593;1.00597;1.00587;1.00589;1.00587;70597.5;70181;7888.5;4037.5;14402
4200;1.00597;1.00589;1.00592;1.00582;1.00584;70594.5;70175;7887;4037.5;14402
4300;1.00594;1.00597;1.00589;1.00592;1.00582;70594.5;70177;7888.5;4037;14401
4400;1.00594;1.0059;1.00593;1.00584;1.00588;70591.5;70174.5;7888;4037;14400.5
4500;1.00592;1.00599;1.00596;1.00599;1.0059;70595.5;70179.5;7889;4036.5;14404.5
4600;1.00604;1.00612;1.00619;1.00616;1.00619;70609.5;70185;7889;4037;14407
4700;1.00616;1.00617;1.00625;1.00632;1.00629;70618.5;70186;7889;4036.5;14411
4800;1.00613;1.00622;1.00624;1.00631;1.00639;70623;70192.5;7889;4037.5;14411.5
4900;1.00619;1.00616;1.00626;1.00627;1.00635;70625.5;70191;7888.5;4037.5;14412
5000;1.00598;1.00599;1.00596;1.00606;1.00607;70611.5;70191.5;7887.5;4037.5;14416.5
5100;1.00607;1.00604;1.00604;1.00602;1.00611;70615.5;70189;7888;4037;14415
5200;1.00606;1.00611;1.00608;1.00609;1.00606;70618.5;70193;7889.5;4036.5;14416
5300;1.00595;1.006;1.00606;1.00602;1.00603;70614.5;70196.5;7889.5;4037;14416.5
5400;1.00594;1.00602;1.00607;1.00613;1.00609;70619.5;70202;7891.5;4036.5;14417
5500;1.00586;1.006;1.00608;1.00613;1.00619;70623.5;70211.5;7893.5;4036.5;14418.5
5600;1.00603;1.00606;1.0062;1.00628;1.00633;70637.5;70214;7894;4036.5;14419
5700;1.00595;1.0061;1.00613;1.00627;1.00635;70642.5;70224;7894.5;4037.5;14421
5800;1.00595;1.00581;1.00596;1.00599;1.00613;70632.5;70214.5;7893.5;4037;14418.5
5900;1.00583;1.00588;1.00574;1.00588;1.00592;70627.5;70217.5;7894.5;4036.5;14420.5
6000;1.00577;1.00578;1.00583;1.00569;1.00583;70624;70218.5;7895.5;4036.5;14417.5
6100;1.00585;1.00583;1.00585;1.00589;1.00576;70628.5;70217.5;7894.5;4036.5;14420.5
6200;1.00583;1.00583;1.00582;1.00583;1.00588;70627.5;70217.5;7894;4036.5;14422.5
6300;1.00596;1.00602;1.00602;1.006;1.00602;70640.5;70221.5;7895;4036.5;14422.5
6400;1.00606;1.00616;1.00622;1.00622;1.0062;70654.5;70228.5;7896.5;4037;14420.5
6500;1.00602;1.00593;1.00603;1.00609;1.00609;70645.5;70222.5;7895;4037;14420.5
6600;1.00609;1.00605;1.00596;1.00606;1.00612;70647.5;70219.5;7894.5;4036.5;14422.5
6700;1.00621;1.00609;1.00605;1.00596;1.00606;70647.5;70211;7893.5;4036.5;14418
6800;1.0062;1.0062;1.00608;1.00603;1.00595;70646.5;70210.5;7894;4036.5;14415.5
6900;1.00613;1.00614;1.00613;1.00601;1.00597;70642;70211;7893.5;4036.5;14418
7000;1.00612;1.0062;1.0062;1.0062;1.00608;70646.5;70216.5;7895;4036.5;14417.5
7100;1.00615;1.00613;1.0062;1.00621;1.0062;70647;70214.5;7895.5;4036.5;14413.5
7200;1.00601;1.00586;1.00583;1.00591;1.00592;70626.5;70204;7895;4036;14408
7300;1.00591;1.00596;1.00581;1.00578;1.00586;70622.5;70207.5;7895.5;4036.5;14406.5
7400;1.006;1.00593;1.00598;1.00583;1.00581;70624.5;70203;7895.5;4036.5;14402
7500;1.00592;1.00586;1.00579;1.00584;1.00569;70614.5;70198.5;7895;4036;14402.5
7600;1.00611;1.00611;1.00604;1.00598;1.00603;70627.5;70198;7895;4036;14402
7700;1.00608;1.00613;1.00612;1.00606;1.00599;70628.5;70201.5;7895.5;4035.5;14406.5
7800;1.00608;1.00594;1.00599;1.00598;1.00591;70618.5;70191.5;7894.5;4035;14403.5
7900;1.00596;1.00589;1.00574;1.00579;1.00579;70605;70186;7893.5;4034.5;14405
8000;1.00589;1.00579;1.00571;1.00556;1.00561;70592.5;70178.5;7894;4033.5;14401.5
8100;1.00593;1.00594;1.00583;1.00575;1.00561;70595.5;70179;7894;4034;14399
8200;1.00588;1.00586;1.00587;1.00576;1.00568;70590.5;70177.5;7894.5;4033.5;14398.5
8300;1.00576;1.00572;1.0057;1.00571;1.0056;70579.5;70175;7894.5;4033.5;14396
8400;1.00578;1.00596;1.00592;1.0059;1.00591;70593.5;70187.5;7895;4034.5;14400.5
8500;1.00589;1.00583;1.00601;1.00597;1.00595;70597;70183.5;7894;4034.5;14400.5
8600;1.00584;1.00587;1.00581;1.00599;1.00595;70595.5;70185.5;7893.5;4035.5;14398.5
8700;1.00579;1.00596;1.00599;1.00594;1.00612;70604.5;70197.5;7895;4035.5;14404.5
8800;1.00571;1.00571;1.00588;1.00591;1.00585;70598.5;70197.5;7895.5;4035.5;14402.5
8900;1.00568;1.00575;1.00575;1.00592;1.00595;70601.5;70202.5;7897;4035.5;14401.5
9000;1.00584;1.00579;1.00586;1.00586;1.00604;70609.5;70199.5;7896.5;4035.5;14400.5
9100;1.00584;1.00581;1.00576;1.00584;1.00584;70607.5;70197.5;7896.5;4035.5;14398.5
9200;1.00576;1.00578;1.00575;1.00571;1.00578;70603.5;70199;7896.5;4035.5;14400
9300;1.00578;1.00582;1.00584;1.00581;1.00577;70608;70202;7896.5;4035.5;14403
9400;1.00575;1.00564;1.00569;1.00571;1.00568;70598.5;70194.5;7895.5;4035.5;14399.5
9500;1.00564;1.00551;1.0054;1.00544;1.00547;70581.5;70185;7895;4034.5;14398
9600;1.00564;1.00577;1.00564;1.00553;1.00557;70590.5;70194;7897.5;4034.5;14397
9700;1.00552;1.00547;1.0056;1.00547;1.00536;70578.5;70190.5;7897.5;4034.5;14393.5
9800;1.00549;1.0053;1.00525;1.00538;1.00524;70563;70177.5;7896;4034;14389.5
9900;1.00562;1.00574;1.00556;1.00551;1.00564;70581;70186.5;7898.5;4034;14388.5
10000;1.00569;1.00566;1.00579;1.0056;1.00555;70584;70184;7898.5;4034;14386
10100;1.00577;1.00582;1.00578;1.00591;1.00572;70592.5;70187.5;7898.5;4034.5;14386.5
10200;1.00586;1.00595;1.006;1.00596;1.00609;70605.5;70193.5;7899.5;4034.5;14388.5
10300;1.00576;1.00579;1.00588;1.00593;1.00589;70600.5;70196;7900;4034.5;14389
10400;1.00574;1.00568;1.00571;1.0058;1.00585;70595;70191.5;7899.5;4034;14389.5
10500;1.00577;1.00571;1.00564;1.00568;1.00577;70592.5;70187;7899;4034;14387
10600;1.00577;1.00567;1.00561;1.00554;1.00558;70585.5;70180.5;7898.5;4033.5;14385.5
10700;1.00573;1.00569;1.00559;1.00553;1.00547;70580;70177.5;7897.5;4033.5;14386.5
10800;1.00575;1.00578;1.00574;1.00564;1.00558;70583.5;70179.5;7897;4034;14387.5
10900;1.0058;1.00579;1.00582;1.00577;1.00568;70586;70178.5;7896;4034.5;14387.5
11000;1.00569;1.00569;1.00567;1.0057;1.00566;70578;70178.5;7896.5;4034;14388.5
11100;1.00578;1.00575;1.00575;1.00574;1.00577;70582.5;70176.5;7897;4033.5;14387.5
11200;1.00579;1.00579;1.00576;1.00576;1.00574;70583;70176.5;7897;4034;14384.5
11300;1.00581;1.00575;1.00575;1.00572;1.00572;70580.5;70172.5;7896.5;4033.5;14385.5
11400;1.00576;1.00581;1.00575;1.00575;1.00572;70580.5;70176;7897;4034;14384
11500;1.00564;1.00553;1.00558;1.00552;1.00552;70564.5;70168.5;7897;4033.5;14379.5
11600;1.00567;1.00578;1.00567;1.00572;1.00567;70574.5;70176.5;7898.5;4033.5;14381.5
11700;1.00572;1.00581;1.00592;1.00582;1.00587;70584.5;70182.5;7899;4034;14382.5
11800;1.0058;1.00579;1.00588;1.00599;1.00589;70589.5;70182;7898.5;4034;14384
11900;1.00578;1.00566;1.00565;1.00574;1.00585;70579.5;70173.5;7897.5;4033.5;14382.5
12000;1.00581;1.00584;1.00572;1.00571;1.00579;70583.5;70175.5;7897;4033.5;14386.5
12100;1.00565;1.00554;1.00557;1.00545;1.00544;70564.5;70167.5;7895.5;4033;14387.5
12200;1.00552;1.00557;1.00545;1.00548;1.00536;70558.5;70170.5;7895;4033.5;14389.5
12300;1.00535;1.0053;1.00534;1.00522;1.00525;70542.5;70167;7894.5;4033.5;14388
12400;1.00533;1.00543;1.00538;1.00542;1.00531;70548.5;70174;7896.5;4033.5;14387
12500;1.0054;1.00542;1.00552;1.00547;1.00551;70554.5;70175.5;7896;4033.5;14390.5
12600;1.00543;1.00552;1.00555;1.00565;1.0056;70563.5;70182;7897;4034;14390
12700;1.00546;1.00533;1.00542;1.00545;1.00555;70556.5;70173;7895.5;4033.5;14390
12800;1.00537;1.00542;1.0053;1.00539;1.00541;70554;70176.5;7895.5;4033.5;14393.5
12900;1.00545;1.00547;1.00552;1.00539;1.00548;70560.5;70177.5;7895;4033.5;14396.5
13000;1.00553;1.00551;1.00552;1.00557;1.00545;70564.5;70176;7894.5;4033.5;14397
13100;1.0056;1.00562;1.0056;1.00561;1.00566;70570.5;70177.5;7894.5;4033;14401.5
13200;1.00576;1.00577;1.00579;1.00577;1.00579;70583;70178.5;7896.5;4032.5;14397.5
13300;1.00572;1.00572;1.00574;1.00576;1.00574;70580.5;70178.5;7896.5;4032.5;14397.5
13400;1.00571;1.00566;1.00566;1.00567;1.00569;70576;70175;7896;4032.5;14396
13500;1.00574;1.00579;1.00574;1.00574;1.00575;70581.5;70178.5;7896;4032.5;14399.5
13600;1.00575;1.00578;1.00583;1.00578;1.00578;70584.5;70180.5;7895.5;4032.5;14403.5
13700;1.00583;1.00576;1.00579;1.00584;1.00579;70585;70175.5;7894.5;4032.5;14402.5
13800;1.00582;1.00588;1.00581;1.00584;1.00589;70588.5;70179.5;7895.5;4032.5;14402.5
13900;1.00575;1.00572;1.00578;1.00571;1.00574;70581.5;70177.5;7894.5;4032.5;14404.5
14000;1.00573;1.00578;1.00575;1.00581;1.00574;70583.5;70181;7895;4032.5;14406
14100;1.00574;1.00577;1.00582;1.00579;1.00585;70586.5;70183.5;7895.5;4032.5;14406.5
14200;1.00585;1.00586;1.00589;1.00594;1.00592;70595;70184;7895;4032.5;14409
14300;1.00593;1.00609;1.00609;1.00613;1.00618;70611.5;70195;7896.5;4032.5;14414
14400;1.00588;1.00584;1.006;1.00601;1.00604;70605.5;70192.5;7895;4033;14414.5
14500;1.00584;1.00578;1.00574;1.0059;1.00591;70598.5;70188.5;7895.5;4032.5;14411.5
14600;1.0059;1.00587;1.00581;1.00578;1.00594;70601;70186.5;7894.5;4033;14410.5
14700;1.00573;1.0058;1.00577;1.00571;1.00568;70594;70191.5;7895;4033.5;14410.5
14800;1.00575;1.00582;1.00589;1.00586;1.00581;70600.5;70196.5;7896.5;4033.5;14409.5
14900;1.00584;1.00578;1.00585;1.00592;1.00589;70602.5;70192;7895;4033.5;14411
15000;1.00586;1.00583;1.00576;1.00584;1.00591;70601.5;70190;7894;4033.5;14413
15100;1.00574;1.00587;1.00584;1.00578;1.00585;70602.5;70199.5;7895;4034;14415.5
15200;1.00579;1.00585;1.00599;1.00596;1.00589;70610.5;70203.5;7895;4034.5;14416.5
15300;1.00591;1.00603;1.00609;1.00623;1.0062;70627.5;70212;7897;4034.5;14417
15400;1.00593;1.00596;1.00608;1.00613;1.00627;70630.5;70214;7897.5;4035;14414
15500;1.00601;1.00603;1.00606;1.00618;1.00623;70637.5;70215;7898;4035;14413
15600;1.00605;1.006;1.00601;1.00604;1.00616;70636.5;70211.5;7898.5;4034.5;14410.5
15700;1.00606;1.00613;1.00608;1.0061;1.00613;70642.5;70216.5;7899.5;4034.5;14411.5
15800;1.00598;1.00586;1.00593;1.00588;1.0059;70628.5;70208;7897.5;4034.5;14411
15900;1.00601;1.00588;1.00576;1.00583;1.00578;70621.5;70199.5;7897;4033.5;14410.5
16000;1.00596;1.00605;1.00593;1.00581;1.00588;70624.5;70206;7897.5;4034;14412
16100;1.00601;1.00596;1.00605;1.00593;1.00581;70624.5;70202.5;7897.5;4033.5;14411.5
16200;1.00618;1.0061;1.00605;1.00614;1.00602;70631;70197;7895.5;4033.5;14414
16300;1.00613;1.00623;1.00616;1.00611;1.0062;70635;70204.5;7896;4034;14416.5
16400;1.00613;1.00601;1.00611;1.00603;1.00598;70626.5;70196;7894.5;4034;14414
16500;1.00611;1.00614;1.00602;1.00613;1.00605;70627.5;70198.5;7895;4033.5;14417.5
16600;1.00604;1.00593;1.00596;1.00584;1.00595;70615;70190.5;7894;4033;14416.5
16700;1.00598;1.00584;1.00572;1.00576;1.00564;70600.5;70180.5;7893.5;4032;14414.5
16800;1.00588;1.00588;1.00574;1.00562;1.00566;70593.5;70180.5;7893;4032.5;14413.5
16900;1.00583;1.00569;1.00569;1.00555;1.00544;70580.5;70171;7891.5;4032.5;14410
17000;1.00594;1.00594;1.00581;1.00581;1.00567;70588.5;70171.5;7891.5;4032.5;14410.5
17100;1.00594;1.00595;1.00596;1.00582;1.00582;70589.5;70172.5;7891;4032.5;14413.5
17200;1.00588;1.00579;1.00581;1.00582;1.00568;70579.5;70166.5;7890.5;4032.5;14409.5
17300;1.00583;1.0059;1.00582;1.00583;1.00584;70581;70171.5;7891.5;4032.5;14410.5
17400;1.00594;1.00597;1.00604;1.00595;1.00597;70590.5;70173;7891.5;4032.5;14412
17500;1.00594;1.00596;1.00598;1.00605;1.00597;70591.5;70174.5;7891.5;4032.5;14413.5
17600;1.00583;1.00574;1.00577;1.00579;1.00586;70578;70168.5;7889.5;4032.5;14415.5
17700;1.00587;1.00604;1.00595;1.00597;1.00599;70592.5;70180.5;7891.5;4033;14416.5
17800;1.00597;1.00591;1.00608;1.00599;1.00602;70595.5;70176;7891.5;4032.5;14415
17900;1.00596;1.006;1.00594;1.00611;1.00602;70597.5;70179;7891;4033;14417
18000;1.00609;1.00609;1.00613;1.00607;1.00624;70606.5;70179;7891.5;4032.5;14418
18100;1.00608;1.00604;1.00604;1.00609;1.00602;70603.5;70176.5;7890.5;4032.5;14419.5
18200;1.00611;1.00628;1.00624;1.00624;1.00629;70617.5;70188.5;7892.5;4033;14420.5
18300;1.00609;1.00613;1.0063;1.00626;1.00626;70619;70191.5;7893.5;4033;14419.5
18400;1.00619;1.00616;1.00621;1.00638;1.00634;70624.5;70189.5;7893;4033;14419.5
18500;1.00618;1.00625;1.00622;1.00626;1.00644;70628.5;70194;7893;4033.5;14421
18600;1.00628;1.00634;1.00641;1.00638;1.00642;70639.5;70198.5;7893.5;4033.5;14423.5
18700;1.00634;1.00616;1.00623;1.00629;1.00626;70631.5;70186.5;7892.5;4033;14418.5
18800;1.00623;1.00628;1.00611;1.00617;1.00624;70627.5;70190;7895;4032.5;14415
18900;1.00646;1.0063;1.00635;1.00618;1.00624;70632.5;70178.5;7894;4032;14410.5
19000;1.00658;1.00659;1.00643;1.00648;1.00631;70641.5;70179.5;7894.5;4032;14409.5
19100;1.00658;1.00656;1.00658;1.00641;1.00646;70640.5;70178.5;7895.5;4031.5;14407.5
19200;1.00654;1.00654;1.00653;1.00654;1.00638;70638;70178.5;7895.5;4031.5;14407.5
19300;1.00656;1.0066;1.0066;1.00659;1.0066;70642;70181;7895.5;4032;14407
19400;1.00669;1.00664;1.00668;1.00668;1.00666;70647.5;70177.5;7894.5;4031.5;14410.5
19500;1.00664;1.00667;1.00662;1.00666;1.00666;70646;70179.5;7895.5;4031.5;14408.5
19600;1.00665;1.00656;1.00659;1.00654;1.00658;70640.5;70173.5;7894.5;4031.5;14406.5
19700;1.00655;1.00652;1.00644;1.00646;1.00641;70631.5;70171.5;7894.5;4031.5;14404.5
19800;1.00654;1.00659;1.00656;1.00648;1.00651;70634.5;70175.5;7895;4032;14403.5
19900;1.00644;1.00648;1.00654;1.00651;1.00642;70630.5;70178.5;7895;4032.5;14403.5
20000;1.00651;1.00646;1.00651;1.00656;1.00654;70632.5;70175.5;7894.5;4032.5;14402.5
20100;1.00655;1.00655;1.00651;1.00655;1.00661;70635.5;70175.5;7894.5;4033;14399.5
20200;1.00666;1.00659;1.00659;1.00654;1.00659;70638;70170.5;7894;4033;14396.5
20300;1.00656;1.00671;1.00664;1.00664;1.00659;70641.5;70180.5;7896.5;4033;14396.5
20400;1.00634;1.00635;1.00649;1.00642;1.00642;70626.5;70181;7897;4033;14395
20500;1.00629;1.00609;1.00609;1.00624;1.00617;70608.5;70166.5;7894;4033;14392.5
20600;1.00621;1.00614;1.00593;1.00594;1.00608;70597.5;70161.5;7893;4033;14391.5
20700;1.00628;1.00629;1.00622;1.00602;1.00602;70603.5;70162.5;7893;4033;14392.5
20800;1.00625;1.00628;1.00629;1.00622;1.00602;70603.5;70164.5;7893;4032.5;14397.5
20900;1.00608;1.00617;1.00619;1.00621;1.00614;70597.5;70170.5;7893.5;4032.5;14401.5
21000;1.00614;1.00605;1.00614;1.00617;1.00618;70595.5;70164;7892.5;4032.5;14399
21100;1.00601;1.00593;1.00584;1.00592;1.00595;70580.5;70158.5;7891.5;4032.5;14397.5
21200;1.00613;1.006;1.00592;1.00583;1.00592;70580;70149.5;7890.5;4032.5;14392.5
21300;1.00624;1.00611;1.00598;1.0059;1.00581;70578.5;70140.5;7889.5;4032.5;14387.5
21400;1.00627;1.00614;1.00601;1.00588;1.0058;70571.5;70131.5;7888.5;4032.5;14382.5
21500;1.00635;1.00638;1.00625;1.00612;1.006;70579.5;70133.5;7888.5;4032.5;14384.5
21600;1.00619;1.00611;1.00614;1.00601;1.00588;70562.5;70128;7886.5;4033;14384
21700;1.0062;1.00626;1.00618;1.00621;1.00608;70567.5;70132.5;7888.5;4033;14380.5
21800;1.00613;1.00607;1.00613;1.00605;1.00608;70558.5;70128.5;7888;4033;14378.5
21900;1.00611;1.00597;1.00591;1.00598;1.0059;70547.5;70119;7886;4033;14377
22000;1.00609;1.00605;1.00591;1.00586;1.00592;70543.5;70116;7886.5;4032.5;14375
22100;1.00611;1.00619;1.00615;1.00601;1.00596;70550.5;70121.5;7887;4032.5;14378.5
22200;1.00621;1.00613;1.00621;1.00616;1.00603;70551.5;70115.5;7886;4033;14373.5
22300;1.00618;1.00626;1.00617;1.00625;1.00621;70554.5;70120.5;7887.5;4033;14372.5
22400;1.00606;1.00611;1.00618;1.0061;1.00618;70549.5;70124.5;7888.5;4033;14372.5
22500;1.00611;1.00607;1.00613;1.0062;1.00611;70550.5;70121.5;7887.5;4033;14373.5
22600;1.00616;1.00597;1.00593;1.00598;1.00606;70540.5;70108;7885.5;4033;14368
22700;1.00609;1.00596;1.00577;1.00573;1.00579;70526.5;70099.5;7884;4032.5;14368.5
22800;1.00605;1.00607;1.00595;1.00576;1.00571;70525.5;70101;7884.5;4033;14365
22900;1.00599;1.00589;1.00592;1.00579;1.0056;70514.5;70094.5;7882.5;4033.5;14363.5
23000;1.00609;1.00603;1.00594;1.00596;1.00584;70517.5;70090;7882.5;4033.5;14359
23100;1.00616;1.00635;1.00629;1.00619;1.00621;70535.5;70103;7884.5;4034;14361
23200;1.00624;1.00626;1.00644;1.00638;1.00629;70542;70104.5;7883;4034;14368.5
23300;1.0061;1.00621;1.00624;1.00642;1.00636;70540.5;70112.5;7883.5;4034.5;14371.5
23400;1.00604;1.00613;1.00624;1.00626;1.00645;70542.5;70118.5;7884.5;4035;14370.5
23500;1.00599;1.00596;1.00604;1.00616;1.00618;70536.5;70116.5;7886;4034.5;14365.5
23600;1.0059;1.00597;1.00594;1.00603;1.00614;70535.5;70121.5;7886;4035;14367.5
23700;1.00587;1.00587;1.00594;1.00591;1.006;70533.5;70121.5;7886;4034.5;14370.5
23800;1.00594;1.00587;1.00587;1.00594;1.00591;70533.5;70116.5;7885.5;4034.5;14367.5
23900;1.00591;1.00594;1.00587;1.00587;1.00594;70533.5;70119;7885.5;4034.5;14370
24000;1.00588;1.00584;1.00588;1.00581;1.00581;70529;70116.5;7886;4034.5;14365.5
24100;1.00586;1.00581;1.00578;1.00581;1.00574;70524.5;70113.5;7885.5;4035;14361.5
24200;1.00579;1.00581;1.00577;1.00574;1.00577;70521.5;70115;7886.5;4034.5;14362
24300;1.00593;1.00585;1.00587;1.00583;1.00579;70525.5;70109.5;7886;4034.5;14358.5
24400;1.00584;1.00586;1.00578;1.0058;1.00576;70520.5;70111;7886;4034.5;14360
24500;1.00586;1.00588;1.0059;1.00582;1.00584;70523.5;70112.5;7885.5;4034.5;14363.5
24600;1.00587;1.0059;1.00592;1.00594;1.00586;70526.5;70114.5;7886;4034.5;14363.5
24700;1.0059;1.00583;1.00586;1.00588;1.0059;70523.5;70109.5;7884.5;4034.5;14364.5
24800;1.00581;1.00587;1.0058;1.00583;1.00585;70521.5;70113.5;7884.5;4034.5;14368.5
24900;1.00572;1.00571;1.00577;1.0057;1.00573;70514.5;70113;7884;4034.5;14370
25000;1.00567;1.00574;1.00573;1.00579;1.00571;70515.5;70117.5;7883.5;4035;14373.5
25100;1.00559;1.00569;1.00575;1.00574;1.0058;70516.5;70124;7883.5;4035.5;14377
25200;1.00569;1.00575;1.00584;1.00591;1.0059;70527.5;70128;7884.5;4036;14374
25300;1.00576;1.00579;1.00585;1.00594;1.00601;70534.5;70130.5;7884.5;4035.5;14379.5
25400;1.0057;1.00574;1.00578;1.00583;1.00593;70533.5;70133.5;7884.5;4035.5;14382.5
25500;1.0057;1.00576;1.00581;1.00584;1.0059;70538;70138;7885.5;4035.5;14383
25600;1.00566;1.00558;1.00564;1.00568;1.00572;70529.5;70132.5;7883;4036;14384.5
25700;1.00568;1.00578;1.00571;1.00577;1.00581;70538.5;70139.5;7884.5;4036;14385.5
25800;1.00564;1.00578;1.00588;1.0058;1.00587;70545.5;70149.5;7886;4036.5;14386.5
25900;1.00571;1.00564;1.00578;1.00588;1.0058;70545.5;70144.5;7885.5;4036.5;14383.5
26000;1.00578;1.00585;1.00578;1.00593;1.00603;70555.5;70149.5;7887;4036.5;14382.5
26100;1.00591;1.0059;1.00597;1.0059;1.00604;70563.5;70148.5;7887;4036.5;14381.5
26200;1.00584;1.00585;1.00584;1.00591;1.00584;70559.5;70149.5;7886.5;4036.5;14384.5
26300;1.00583;1.00575;1.00577;1.00575;1.00583;70553.5;70144.5;7886.5;4035.5;14385.5
26400;1.00568;1.00573;1.00565;1.00567;1.00565;70546.5;70147.5;7885.5;4036.5;14386.5
26500;1.00563;1.00557;1.00561;1.00554;1.00555;70538.5;70143.5;7886;4035.5;14386.5
26600;1.00571;1.00584;1.00578;1.00583;1.00575;70553.5;70152.5;7886;4036.5;14389.5
26700;1.00554;1.00533;1.00546;1.00541;1.00545;70527;70138;7884;4036.5;14383
26800;1.00556;1.00553;1.00533;1.00546;1.0054;70526.5;70136.5;7883.5;4037;14380.5
26900;1.00575;1.00581;1.00579;1.00558;1.00571;70544.5;70141;7884;4037;14383
27000;1.00575;1.00587;1.00593;1.00591;1.0057;70553;70149;7885.5;4037.5;14382
27100;1.00562;1.00567;1.00578;1.00585;1.00583;70547;70152.5;7886;4037.5;14383.5
27200;1.00556;1.00569;1.00574;1.00585;1.00592;70552;70161.5;7888;4037;14387.5
27300;1.00554;1.00554;1.00567;1.00572;1.00583;70550.5;70161.5;7887.5;4037;14389.5
27400;1.00563;1.00561;1.00561;1.00574;1.00579;70555.5;70160;7888;4037;14386
27500;1.00554;1.00555;1.00553;1.00553;1.00565;70549.5;70160.5;7887.5;4037.5;14385.5
27600;1.00561;1.00547;1.00548;1.00545;1.00545;70544.5;70150.5;7886.5;4037;14382.5
27700;1.00558;1.00564;1.0055;1.0055;1.00548;70546.5;70154.5;7886.5;4037.5;14383.5
